rank,prev_rank,name,league,off,def,spi
388,398,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.37,36.0
389,408,FC Xanthi,Greek Super League,0.72,1.03,35.97
390,397,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
391,400,Avaí,Brasileiro Série A,1.08,1.49,35.93
392,396,Jahn Regensburg,German 2. Bundesliga,1.35,1.83,35.93
393,383,Cerezo Osaka,Japanese J League,0.85,1.2,35.85
394,394,Minnesota United FC,Major League Soccer,1.36,1.86,35.85
395,381,Panetolikos,Greek Super League,1.06,1.48,35.78
396,376,Sarpsborg,Norwegian Tippeligaen,1.06,1.48,35.75
397,375,Arminia Bielefeld,German 2. Bundesliga,1.15,1.6,35.64
398,389,SK Brann,Norwegian Tippeligaen,1.19,1.65,35.62
399,385,Maritimo,Portuguese Liga,0.96,1.36,35.62
400,379,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.3,1.79,35.51
401,424,FC Ingolstadt 04,German 2. Bundesliga,1.12,1.58,35.44
402,391,Deportivo La Coruña,Spanish Segunda Division,0.92,1.32,35.33
403,371,Málaga,Spanish Segunda Division,0.84,1.22,35.32
404,402,Eupen,Belgian Jupiler League,1.19,1.68,35.25
405,431,Metallurg Krasnoyarsk,Russian Premier Liga,1.05,1.5,35.21
406,409,Henan Jianye,Chinese Super League,1.09,1.56,34.99
407,416,Almeria,Spanish Segunda Division,0.81,1.2,34.8
408,401,Burton Albion,English League One,1.13,1.63,34.57
409,413,Chicago Fire,Major League Soccer,1.13,1.64,34.36
410,427,Black Aces,South African ABSA Premier League,1.05,1.54,34.35
411,406,Esbjerg,Danish SAS-Ligaen,0.97,1.44,34.28
412,414,GIF Sundsvall,Swedish Allsvenskan,1.18,1.72,34.2
413,419,Lecce,Italy Serie B,1.04,1.54,34.18
414,415,KV Oostende,Belgian Jupiler League,1.02,1.51,34.18
415,421,Shenzhen FC,Chinese Super League,1.05,1.55,34.14
416,403,Guizhou Renhe,Chinese Super League,1.01,1.5,34.13
417,428,VVV Venlo,Dutch Eredivisie,1.23,1.79,34.04
418,440,Benevento,Italy Serie B,1.02,1.52,34.02
419,418,Palermo,Italy Serie B,1.02,1.53,33.95
420,410,New England Revolution,Major League Soccer,1.17,1.71,33.9
421,411,Paris FC,French Ligue 2,0.7,1.1,33.78
422,422,Adelaide United,Australian A-League,1.04,1.56,33.7
423,452,1. FC Heidenheim 1846,German 2. Bundesliga,1.0,1.51,33.64
424,435,Orlando City SC,Major League Soccer,1.18,1.75,33.61
425,425,Odd BK,Norwegian Tippeligaen,1.02,1.55,33.46
426,442,Panionios,Greek Super League,0.93,1.44,33.39
427,426,Le Havre,French Ligue 2,0.93,1.44,33.22
428,395,Randers FC,Danish SAS-Ligaen,0.84,1.32,33.22
429,429,KSC Lokeren,Belgian Jupiler League,1.05,1.6,33.19
430,430,Paraná,Brasileiro Série A,0.86,1.35,33.17
431,404,Shimizu S-Pulse,Japanese J League,1.26,1.87,33.12
432,443,Grasshoppers Zürich,Swiss Raiffeisen Super League,0.89,1.4,32.95
433,423,SV Darmstadt 98,German 2. Bundesliga,1.02,1.58,32.82
434,417,Gamba Osaka,Japanese J League,1.17,1.79,32.72
435,441,VfL Bochum,German 2. Bundesliga,1.08,1.67,32.7
436,437,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,1.02,1.59,32.68
437,446,SV Sandhausen,German 2. Bundesliga,1.03,1.6,32.65
438,433,Wuhan Zall,Chinese Super League,1.0,1.56,32.62
439,432,Western Sydney FC,Australian A-League,1.27,1.92,32.55
440,450,De Graafschap,Dutch Eredivisie,1.15,1.77,32.49
441,420,Ipswich Town,English League Championship,0.93,1.47,32.49
442,447,Stromsgodset,Norwegian Tippeligaen,1.2,1.84,32.36
443,478,Hartberg,Austrian T-Mobile Bundesliga,1.45,2.18,32.27
444,468,Lorient,French Ligue 2,1.03,1.63,32.26
445,438,Bodo/Glimt,Norwegian Tippeligaen,1.14,1.77,32.25
446,444,Guizhou Hengfeng Zhicheng,Chinese Super League,1.07,1.68,32.23
447,439,Arizona United,United Soccer League,1.09,1.71,32.19
448,436,Giannina,Greek Super League,0.68,1.15,32.17
449,454,Nashville SC,United Soccer League,1.04,1.65,32.11
450,458,Real Oviedo,Spanish Segunda Division,0.83,1.37,32.02
451,494,IF Elfsborg,Swedish Allsvenskan,1.15,1.81,31.81
452,445,Feirense,Portuguese Liga,0.85,1.41,31.78
453,464,Bidvest Wits,South African ABSA Premier League,0.95,1.54,31.76
454,451,Indy Eleven,United Soccer League,1.1,1.74,31.76
455,453,Cercle Brugge,Belgian Jupiler League,1.2,1.88,31.72
456,462,Valerenga,Norwegian Tippeligaen,1.09,1.76,31.43
457,476,Crotone,Italy Serie B,0.94,1.55,31.39
458,467,FC Cincinnati,Major League Soccer,1.0,1.63,31.37
459,456,1. FC Magdeburg,German 2. Bundesliga,0.89,1.49,31.36
460,448,Clermont Foot,French Ligue 2,0.78,1.34,31.27
461,405,Lens,French Ligue 2,0.68,1.19,31.25
